Rank,A check,équipe,Flag,ID,Auto: dernière MAJ,state,az,ae,1st match,1,rnd1,V/D,Date-2,2,rnd2,V/D,Date-4,3,rnd3,V/D,Date-6,4,rnd4,V/D,Date-8,5,rnd5,V/D,Date-10,6,rnd6,V/D,Date-12,7,rnd7,V/D,Date-14,8,rnd8,V/D,Date D-16,9,rnd9,V/D,Date D-18,10,rnd10,V/D,Date D-20,11,rnd11,V/D,Date D-22,12,rnd12,V/D,Date D-24,13,rnd13,V/D,Date D-26,14,rnd14,V/D,Date D-28,15,rnd15,V/D,Date D-30,16,rnd16,V/D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trophées,Victoire / défaite,Date archivée,horaire J-2,trophées,Victoire / défaite
57,3,Arab United™2,🇸🇦,11,3 391,,,,03/07/2023,2 804,2 804,D,05/07/2023,587,3 391,V,07/07/2023,0,,,09/07/2023,0,8439,,11/07/2023,0,,,13/07/2023,0,,,15/07/2023,0,,,17/07/2023,0,,,19/07/2023,0,,,21/07/2023,0,,,23/07/2023,0,,#N/A,25/07/2023,0,,#N/A,27/07/2023,0,,#N/A,29/07/2023,0,,,31/07/2023,0,,,02/08/2023,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3,Arab United™3,🇸🇦,12,3 190,,,,03/07/2023,1 075,1 075,V,05/07/2023,2 115,3 190,D,07/07/2023,0,,,09/07/2023,0,7391,,11/07/2023,0,,,13/07/2023,0,,,15/07/2023,0,,,17/07/2023,0,,,19/07/2023,0,,,21/07/2023,0,,,23/07/2023,0,,#N/A,25/07/2023,0,,#N/A,27/07/2023,0,,#N/A,29/07/2023,0,,,31/07/2023,0,,,02/08/2023,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,3,AY YILDIZ💫,🇹🇷,13,2 881,,,,03/07/2023,1 426,1 426,D,05/07/2023,1 455,2 881,V,07/07/2023,0,,,09/07/2023,0,8978,,11/07/2023,0,,,13/07/2023,0,,,15/07/2023,0,,,17/07/2023,0,,,19/07/2023,0,,,21/07/2023,0,,,23/07/2023,0,,#N/A,25/07/2023,0,,#N/A,27/07/2023,0,,#N/A,29/07/2023,0,,,31/07/2023,0,,,02/08/2023,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,3,B A S T I O N,🇵🇱,14,3 254,,,,03/07/2023,1 748,1 748,V,05/07/2023,1 506,3 254,D,07/07/2023,0,,,09/07/2023,0,7652,,11/07/2023,0,,,13/07/2023,0,,,15/07/2023,0,,,17/07/2023,0,,,19/07/2023,0,,,21/07/2023,0,,,23/07/2023,0,,#N/A,25/07/2023,0,,#N/A,27/07/2023,0,,#N/A,29/07/2023,0,,,31/07/2023,0,,,02/08/2023,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,3,B A W💥W N A,🇺🇦,15,5 768,,,,03/07/2023,3 529,3 529,V,05/07/2023,2 239,5 768,D,07/07/2023,0,,,09/07/2023,0,13170,,11/07/2023,0,,,13/07/2023,0,,,15/07/2023,0,,,17/07/2023,0,,,19/07/2023,0,,,21/07/2023,0,,,23/07/2023,0,,#N/A,25/07/2023,0,,#N/A,27/07/2023,0,,#N/A,29/07/2023,0,,,31/07/2023,0,,,02/08/2023,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,3,B R A Z I L🇧🇷¹,🇧🇷,16,6 146,,,,03/07/2023,3 594,3 594,V,05/07/2023,2 552,6 146,V,07/07/2023,0,,,09/07/2023,0,9736,,11/07/2023,0,,,13/07/2023,0,,,15/07/2023,0,,,17/07/2023,0,,,19/07/2023,0,,,21/07/2023,0,,,23/07/2023,0,,#N/A,25/07/2023,0,,#N/A,27/07/2023,0,,#N/A,29/07/2023,0,,,31/07/2023,0,,,02/08/2023,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,3,Bensalenkkarit,🇫🇮,17,5 940,,,,03/07/2023,2 847,2 847,D,05/07/2023,3 093,5 940,D,07/07/2023,0,,,09/07/2023,0,7438,,11/07/2023,0,,,13/07/2023,0,,,15/07/2023,0,,,17/07/2023,0,,,19/07/2023,0,,,21/07/2023,0,,,23/07/2023,0,,#N/A,25/07/2023,0,,#N/A,27/07/2023,0,,#N/A,29/07/2023,0,,,31/07/2023,0,,,02/08/2023,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,3,BG DREAM TEAM 🥇,🇧🇬,18,5 365,,,,03/07/2023,2 939,2 939,V,05/07/2023,2 426,5 365,D,07/07/2023,0,,,09/07/2023,0,9749,,11/07/2023,0,,,13/07/2023,0,,,15/07/2023,0,,,17/07/2023,0,,,19/07/2023,0,,,21/07/2023,0,,,23/07/2023,0,,#N/A,25/07/2023,0,,#N/A,27/07/2023,0,,#N/A,29/07/2023,0,,,31/07/2023,0,,,02/08/2023,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,3,BLACKLIST#1,🇩🇪,19,6 001,,,,03/07/2023,2 370,2 370,V,05/07/2023,3 631,6 001,D,07/07/2023,0,,,09/07/2023,0,11582,,11/07/2023,0,,,13/07/2023,0,,,15/07/2023,0,,,17/07/2023,0,,,19/07/2023,0,,,21/07/2023,0,,,23/07/2023,0,,#N/A,25/07/2023,0,,#N/A,27/07/2023,0,,#N/A,29/07/2023,0,,,31/07/2023,0,,,02/08/2023,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,3,BY🔝NoWar🇺🇦,🇧🇾,20,3 922,,,,03/07/2023,1 180,1 180,D,05/07/2023,2 742,3 922,D,07/07/2023,0,,,09/07/2023,0,6798,,11/07/2023,0,,,13/07/2023,0,,,15/07/2023,0,,,17/07/2023,0,,,19/07/2023,0,,,21/07/2023,0,,,23/07/2023,0,,#N/A,25/07/2023,0,,#N/A,27/07/2023,0,,#N/A,29/07/2023,0,,,31/07/2023,0,,,02/08/2023,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
